,nbDays,TVL_ETH,CumulRet,FeesRet,AnnRet,AnnVol,MaxDrawdown,Fees/Vol,FeesAnn,Fees_30D_pct,Fees/Vol 30D,Pair,Extra Incentives APR
0x82917fb0dd65b0e5c85eea66e4f5c1ed484bc629,403,4255.414,0.2856933,0.09772467613220215,0.25558612361265554,1.0899541094066036,-0.44855850024902655,0.08965944096986407,0.08811597958138573,0.004847049713134766,0.0533642619039102,MULTI_WETH,0.029536504487361843
0x795065dcc9f64b5614c407a6efdc400da6221fb0,406,8067.7056,-0.34421468,0.0907524824142456,-0.3156692531620152,0.7875525799079317,-0.4859981041494885,0.11523355358045423,0.08122585022162876,0.00566411018371582,0.08630448802864153,SUSHI_WETH,0.03925661452421866
0x6a091a3406e0073c3cd6340122143009adac0eda,406,40786.004,-0.56792885,0.008544445037841797,-0.529717519512122,0.49317105449791454,-0.6645493238298497,0.017325520141364924,0.007678278632031299,0.0019233226776123047,0.04679891879470646,ILV_WETH,0.5731566124457766
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,406,6336.0425,0.094382405,0.28518152236938477,0.0844601594818315,1.4394632478366076,-0.42070478862141647,0.19811657074120415,0.25302769889842613,0.04531717300415039,0.37778392527013077,SYN_WETH,0.50423684691766
0x3e04863dba602713bb5d0edbf7db7c3a9a2b6027,146,7883.3965,-0.8537415,0.02679610252380371,-0.9918190716287547,1.721037626934604,-0.8537415445121126,0.015569736596364323,0.06834255729836158,6.663799285888672e-05,0.00046463592764728437,UwU_WETH,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,406,32382.557,0.78908694,0.27460432052612305,0.6870167805188079,0.8659319808311147,-0.2739629529723181,0.3171199662386415,0.24375267992307204,0.014746546745300293,0.20435619062568874,USDC_WETH,0.05603059911798906
0x1498bd576454159bb81b5ce532692a8752d163e8,356,4520.348,-0.08208114,0.000446319580078125,-0.08406648057990118,0.08337738002984033,-0.11601801363585451,0.005353005574394273,0.0004576055215237407,9.381771087646484e-05,0.01350261342002658,DELTA_WETH,0
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,406,5938.1436,-0.23840135,0.08743906021118164,-0.21716529056903622,0.670720104285279,-0.3810122651241844,0.1303659449784302,0.07827259825304456,0.0031665563583374023,0.056653551991766096,YFI_WETH,0.023955286245722008
0x06da0fd433c1a5d7a4faa01111c044910a184553,406,12525.805,0.7533879,0.22250032424926758,0.6567231353956393,0.8612521653371477,-0.2788263757902577,0.2583451551174529,0.1979484366492945,0.012344717979431152,0.17200144361342062,WETH_USDT,0.05671000763108061
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,395,5191.5137,-0.014053702,0.018178820610046387,-0.012993298354707639,0.5892017879708168,-0.2665711908546978,0.030853301841892552,0.016786629240417517,0.00023949146270751953,0.00487761173024916,PUNK_WETH,0
